Region label,Unit of measure,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Commodity
0,tonnes,83200,151000,161300,29200,169300,150400,111400,95700,119800,197900,110400,146800,169900,173700,90700,88600,85000,101600,91800,125100,117000,115500,123000,95200,115500,110800,96700,52800,150200,47600,147900,120400,67200,24200,134300,116100,279100,135900,158200,163900,202300,228600,178700,181800,269600,173400,172900,423500,230400,375000,296000,490600,360800,407300,322700,567000,124500,548500,470400,466600,449400,238200,232700,186000,337200,309000,268500,446200,390300,321700,306000,97600,494800,343200,300000,355900,325200,276100,330400,301100,300400,403800,362000,200600,391700,304000,369100,458000,296300,351400,333900,250100,507300,284500,328100,134200,334700,236300,300100,237000,234090,233159,213071,179468,185291,492994,188467,165344,197027,334292,233846,Oats
Queensland,hectares,200,1700,1700,1100,100,2700,1200,100,100,1900,900,500,100,1600,500,100,900,400,800,2100,600,1500,2100,1800,2800,3200,3100,3500,4700,2900,3300,7700,8900,6800,16200,6200,10100,8600,8300,6900,8400,22800,5500,14700,14400,11100,7700,15800,8700,7500,10800,11000,12600,22400,18200,26900,12500,22300,30400,24400,20600,10400,19600,25400,11900,9000,9600,30200,12500,14300,17800,11900,19500,12400,21300,20300,19500,17700,15400,24200,15000,14800,15900,13700,14100,39400,16000,18100,10000,12800,10600,9400,9100,20900,15600,24400,20300,7300,11600,13600,17860,47966,23299,65349,36203,47424,44868,35889,50100,63106,50278,Oats
0,tonnes,100,1500,1000,800,0,2000,800,100,100,1900,600,400,0,1200,300,0,800,200,700,1700,400,1100,1300,1500,2200,400,1400,1700,3600,1400,1200,5000,7000,5400,15000,1400,8600,7600,6100,4000,4800,23600,3600,10800,13400,10000,4600,15100,7100,5200,7500,9900,12200,21200,13300,26500,8100,20300,17200,8400,17600,8200,13300,28500,13000,9100,4800,43200,8700,5900,16400,8600,19400,14300,26100,18800,13600,14500,14300,27100,5200,9700,7800,3200,6900,25700,13000,15300,11800,5900,7500,3500,4900,9700,7500,3600,11800,7000,6600,7300,22762,14355,2988,14789,23371,56470,12380,10624,24990,60976,66892,Oats
South Australia,hectares,43700,62900,47300,56900,51200,61400,43100,65100,77800,67600,50600,70300,71300,62800,64000,61600,79700,83900,112500,88400,83600,70500,107300,148600,121300,167800,134500,108000,141200,191200,117900,106300,90800,135200,149600,102100,125000,116000,105800,109800,156800,149500,113400,137500,172000,172900,173000,194700,204600,207300,131000,168200,202600,179600,183200,205900,212400,208700,150400,194900,168900,141500,152200,134900,119000,116700,130000,170500,129000,105500,127300,123600,153400,127800,108500,112600,131800,155500,172000,134600,129300,122900,101500,94900,119600,120600,110500,112400,69900,75000,108300,87900,88700,75800,72200,106400,141600,100000,96200,67000,54950,67899,53676,56825,65419,86092,57088,115379,92239,99866,79111,Oats
0,tonnes,24400,30300,21700,6700,38600,33300,22600,27900,29600,42200,23500,30400,39100,35100,32700,31000,25000,31500,28300,37700,41400,32400,37800,43700,43100,42800,53600,43500,73500,33100,68800,60900,41500,23800,57500,50300,97600,47800,62700,64000,97800,120700,78200,81600,131800,150600,61900,217100,45300,207700,79500,104400,165600,162500,101800,186000,59700,215300,120900,152600,165800,74300,142300,111700,107300,90300,55400,176800,144100,96100,97900,64500,180500,132300,110200,149100,134600,131400,249900,147600,172500,164500,135100,87000,161900,155800,153000,178100,77500,117200,202900,69900,137400,89700,119600,51500,115300,81300,144000,124600,78033,88430,82175,89434,102548,179374,93916,140275,91794,161430,145667,Oats
Western Australia,hectares,31400,51700,54100,38900,42100,49500,38700,57200,77700,78300,65900,86700,97800,129100,112600,95000,95300,131900,155900,111200,108400,115700,138700,165400,181400,187400,156300,172400,183200,173700,164800,138500,144900,162700,160400,172000,200200,215200,236600,237000,265700,336800,296700,353500,441500,425500,466800,538100,502000,538200,498000,476500,455200,466200,501900,487200,468700,442100,461100,519600,453900,296700,324900,262300,319900,372300,415000,427500,369600,382000,432200,460900,448200,350600,287600,302500,372600,389100,339900,324100,367200,331600,268500,256500,300400,316300,304900,228400,199400,248300,286600,313900,343900,243000,270600,299000,396800,294900,263300,254900,287544,258172,259814,233230,299755,402883,306385,315929,298520,379412,369635,Oats
0,tonnes,17400,38100,30000,8400,27800,30600,16400,27100,45000,36600,36600,40900,51500,76800,53200,49200,52900,64300,73500,59600,64200,65200,71500,76800,82500,62400,79000,84500,96200,58800,96400,65400,71700,69600,73900,66300,97900,126700,131600,143200,139200,189000,173600,173500,298900,189000,249700,408800,354700,394800,365400,336100,323100,253600,421300,400300,357600,416300,280600,519900,413900,212000,383100,249500,385700,347400,415600,490900,399300,383600,441800,533600,455600,459900,338200,413600,501600,618500,529400,496800,614300,577900,511100,424800,584800,546100,596100,463400,438700,317000,556900,476700,751500,460300,591300,441000,839500,568300,493300,283300,661965,502281,661401,557595,601410,1035754,697234,687050,643167,688251,937443,Oats
Tasmania,hectares,23300,25300,23800,23100,31700,22300,14100,14700,19500,20400,22100,23800,20800,18700,14900,19600,17400,15200,15800,14500,7500,12400,12600,14800,9700,8900,13100,10000,9400,7100,11000,5300,3900,6000,5700,9200,6900,4700,9200,9500,10700,8100,8100,9200,11600,6700,8400,9000,8900,9400,10900,12600,12300,11400,11400,14500,14300,12700,9000,9400,6400,6500,9200,6100,3900,6400,4600,8600,7500,8800,9900,8000,14000,9900,10300,7800,9600,10200,7600,9300,9100,9200,6700,8300,10100,8100,8000,8000,6300,6600,5600,3900,4100,4000,4300,3600,4200,3700,3700,3400,3425,3665,4318,3647,1875,2624,2714,2254,np,2404,1948,Oats
0,tonnes,27200,40900,28800,24300,39600,18200,10300,15400,22500,27500,28100,30500,24700,19400,15200,24700,25500,18400,21400,19100,6500,15100,15400,19200,10100,13700,18800,11700,9600,7600,15200,5300,5400,7600,5100,10800,6500,4800,10500,7800,10800,5200,8400,8200,10000,4600,8800,8900,9300,7100,10700,15000,15300,9500,12300,17200,18400,10600,8300,8800,7100,7100,8200,5500,3500,8800,4300,11800,7900,11100,13400,8900,24700,15900,16500,11200,15600,17900,12800,18800,18600,19000,12700,11300,18400,14000,14900,14400,9700,12600,11900,7500,6600,9100,8500,3400,7900,6500,6600,7000,7624,7393,11697,6287,4496,5254,6036,5063,np,7221,6577,Oats
Northern Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,382,0,Oats
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,Oats
Australian Capital Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,500,0,200,100,200,0,0,100,0,100,0,100,100,100,100,100,0,100,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,np,64,0,Oats
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,300,200,200,100,0,0,0,200,100,0,100,100,100,100,100,100,100,100,200,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,np,64,0,Oats
Australia,hectares,3006000,2970300,3758500,3905700,5052300,4667200,3955700,3233500,2597800,3671400,3933200,3951300,3860900,4380800,4128400,4730000,4965600,6005100,6060300,7350400,5965000,6378800,6029100,5075800,4838200,4983900,5557600,5805000,5375300,5116300,4857200,3755200,3186400,3424300,4623000,5332300,5615300,5090700,4951700,4719200,4201800,4131400,4350200,4318800,4113800,3186600,3580400,4207900,4925300,5438200,5957500,6663700,6665500,7250700,7087400,8425700,9080700,10843800,9485000,6478000,7137400,7603800,8948000,8307300,8554800,8955900,9954600,10248800,11152200,11283100,11884700,11519700,12799500,12044800,11735600,11135200,9004800,8826800,9003900,9218100,7182900,8274600,8383200,7890700,9220700,10935600,10440600,11542500,12167500,12141400,11529200,11170300,13067100,13399400,12442700,11797900,12578300,13530200,13881000,13501800,13902140,12979382,12613226,12383673,11282202,12191153,10919180,10402271,9863184,12643216,12728252,Wheat
0,tonnes,1949200,2502800,2812100,677300,4872500,4147200,3121900,2058000,1250800,3969300,3512600,2978200,3400900,4477600,3115400,4407000,3215600,4344200,3451400,5810800,5185300,5818900,4823200,3628000,3923100,4118500,5093500,4225600,5725900,2236300,4535400,4236500,2984300,1438600,3873900,3188900,5986700,5186800,5935300,5012400,4345500,5311100,5385500,4587300,5317100,3658100,2654300,5851900,5399700,7446600,6724400,8348800,8920300,10033000,7063600,12693600,7542900,14797900,10542200,7888300,8508500,6434000,11902100,11357000,11981700,11799600,9369900,18089200,16188000,10856400,16359300,8804700,20787800,18072000,16062600,16119400,12286800,13935000,14214500,15066100,10557400,14738700,16479300,8961300,16503900,22924300,19226600,21464800,24757400,22108100,24299300,10131900,26131900,21905100,25150400,10821600,13569400,21420200,21834000,27410100,29905009,22855576,25303037,23742560,22274514,31818744,20941134,17597561,14480217,31922555,36237477,Wheat
New South Wales,hectares,963400,903100,1297200,1116100,1695200,1540500,1347400,975200,596600,1265600,1293000,1190900,1191900,1436700,1183700,1356800,1226200,1655200,1608200,2078000,1490400,1944100,1855100,1575300,1558600,1611800,1806800,1882100,1772800,1802500,1606100,1227400,1089900,1151300,1527200,1810900,2040800,1634300,1623500,1347000,1114200,1093600,1358500,1181100,1188700,705100,913500,1286100,1598700,1649500,1820400,2026800,2008800,2331000,1852100,2887500,3324500,4031400,3489500,2215700,2426300,2618100,2883000,2646300,2774100,3115800,3377400,3162100,3415000,3345000,3600000,3161700,3868100,3569500,3662600,3098800,2463700,2309500,2123400,2165800,1499300,1694000,1977700,1423800,2328300,3192000,2936200,3173800,3424500,3670800,3446000,2994800,3983400,4256300,3554100,3595800,4008900,4322200,3982600,3814700,3868354,3487448,3269386,3166039,2932741,3248417,2793456,2381953,2132016,4037001,3607705,Wheat
0,tonnes,682800,884200,1034700,349200,1817000,996000,1026400,498700,119400,1513900,1163900,780200,902900,1626600,920000,1293900,736000,1340600,936400,1792900,1495900,2146500,1552800,1324800,1328700,1515000,1499700,1630200,2083400,651400,1320000,1406900,1292700,466300,1701500,426800,2591700,1760900,2230000,1177700,1080200,1542300,1733100,1026500,1555400,775400,288600,1808200,2050900,2304000,2132300,2966600,3333200,4122700,1064600,5511200,2376500,5854600,4430300,3010200,2409800,1954100,3961500,3808700,4310500,5141000,3846200,6640400,6000000,2865000,5910000,1623200,8220800,5610200,5915500,4855200,3996900,4105300,3423300,4127600,2183000,3582700,5086100,874600,4508400,8363400,5906400,6563300,8601900,7867300,8042800,2494900,7288200,7537400,8049000,2567700,2477100,6963300,5349800,10488400,8472914,7364882,6595626,6653670,6897527,9819120,4702842,1850335,1772365,12972151,12029415,Wheat
Victoria,hectares,875800,843900,1038400,1158800,1489200,1264900,1088700,896200,776300,929100,1056700,1070100,993100,1094800,1017200,1179800,1240000,1505000,1443200,1861600,1443100,1307500,1235500,995000,940400,968700,1087000,1112200,1144200,1081600,1115800,868100,725800,866700,1315800,1416900,1306000,1212300,1144600,1107000,997000,903300,966900,967300,866600,633400,742500,732500,914900,1081200,1152900,1264600,1258200,1309600,1244000,1269900,1304700,1612300,1334800,760400,1040200,1087400,1257900,1140700,1073100,1103100,1270300,1337400,1456900,1431000,1321700,1326600,1613900,1522600,1508100,1363600,1025700,930900,952300,911500,664100,821200,779900,821800,853400,962600,856800,948600,1234600,1142600,1136400,1238900,1409200,1327000,1314600,1347300,1514000,1533600,1801100,1793100,1668929,1591922,1535818,1492657,1341512,1454196,1446793,1402863,1428857,1413422,1444578,Wheat
0,tonnes,568600,713700,896400,107300,1592700,1392400,1027000,686900,404400,1074200,1193900,971500,1028600,1289100,796200,1276000,712000,1274200,691600,1464600,1141900,1302100,1159700,703500,1022000,1166000,1311100,492700,1226200,368000,1277900,1137700,537100,95200,806500,1332800,1278100,1335300,1563100,1394400,1251800,1369900,1461400,1319500,1118100,960200,874600,1162000,1055800,1839400,1548000,1847900,2076600,2127300,1649000,1929500,770700,2469200,2273700,1004300,1797300,1249300,1405400,2091300,1578500,1779600,1496700,2998500,3249600,2538000,2466800,422300,3862500,2694300,2342400,2794600,1882400,1691400,1961400,1493000,1150400,2015100,2021900,933600,1921200,2262300,1502800,1462300,2642100,3079700,2791400,890200,3145500,1927100,2908900,879300,1995300,1755700,2994900,4412400,3943311,3422865,3395892,2631301,1814868,4664824,3682083,2276598,3714313,4525002,4246433,Wheat
Queensland,hectares,17400,50600,53700,51400,37900,92200,51700,8800,18800,71800,66600,58900,20700,76500,67200,23100,87000,88300,82600,110200,100700,101200,93900,89700,97000,114800,150900,178900,146500,130300,117700,135500,113800,134500,158800,100400,187100,246000,242800,226100,184000,293200,234700,278200,235400,145700,186400,284900,276500,280300,303400,371900,379400,415000,386000,496700,597600,723800,608700,333900,556000,470600,394700,488500,576200,582000,606800,747000,733300,727000,941100,767000,1005900,921000,972700,794600,646100,768200,894300,1060300,491700,669200,555500,400700,626500,979700,1001400,1138800,1096000,884900,604400,514400,789700,711000,778300,638000,668900,1019900,961700,905500,953201,865923,757955,633508,611093,622197,639189,419697,441477,966132,940597,Wheat
0,tonnes,7800,53700,48100,43100,11300,67000,28200,2800,8500,100800,82300,51100,6600,75600,53700,10300,102900,68400,115200,138900,105100,67800,118600,110900,73200,54800,102000,233500,184800,154700,83800,136100,138300,189900,222700,19200,290600,389400,320400,239000,180400,507600,276900,448200,405900,192100,181100,437800,367800,299200,326900,508200,605900,621000,474100,971900,745700,1142400,405200,119700,721800,404900,525900,692100,830000,794500,569200,1962200,846000,485300,1482300,754400,1922400,1579100,1691000,833100,718400,1550000,1420000,1973200,343700,735200,555400,225100,519500,1979500,1392100,1941200,1904000,1157000,901400,600900,1109700,1170400,1217600,776700,953900,2016000,1346300,1523600,1886303,1613964,1036450,986855,1315912,1501600,765413,419675,418475,1594192,2222389,Wheat
South Australia,hectares,886600,841600,917800,1012800,1108500,1124400,953300,884800,779800,877200,964800,992800,978700,1011700,997800,1120400,1190400,1394400,1475400,1691800,1647700,1645800,1546700,1290300,1209800,1237700,1279500,1246600,1106700,1036200,941200,813000,620700,656900,876200,1019400,961100,834900,767400,747800,652800,624800,618500,683600,651200,582100,538800,569600,627100,797000,902100,1050200,1134100,1103500,1110800,1198000,1159100,1517000,1299000,802300,1068600,986100,1431900,1220400,958500,839100,1090000,1295300,1424200,1445300,1427500,1398000,1564000,1377600,1442500,1616300,1555600,1520000,1556600,1447800,1296800,1419500,1216000,1394700,1519100,1534900,1438500,1762100,1850000,1975600,1986600,1956500,1959500,1979200,2034900,2172500,2120800,2103900,2122400,2340600,2249066,2118739,1926850,2045009,1769700,2178255,1975810,1820819,1720943,1830975,2008064,Wheat
0,tonnes,553600,584700,460700,95900,928500,1244300,780400,623900,407500,931800,678500,782900,939800,830400,778000,967200,654600,729700,635000,948500,1308100,1154100,962200,746500,859900,781000,1181300,861500,1117200,485700,829900,993500,562800,251400,572100,759000,884700,710900,771100,841500,742600,922600,827100,855800,785800,855000,405700,871300,324500,1262000,920800,1042800,1468000,1436600,1087400,1463800,731700,2262000,1609100,789600,1406100,815000,1795000,1485600,1139000,831900,510800,2085700,2349600,1650400,1694700,681200,2590300,1899600,1793100,2254900,1803000,1361100,2607200,2020800,2141000,2421200,2121100,1487400,2724000,2794900,2689200,3310400,2585500,4162400,4778500,2071800,3490400,2620800,3852800,1446000,2296000,2376100,4001300,5948700,4524803,3678962,4254313,4602087,3679342,6132504,4051954,3024524,2689074,3982208,4750113,Wheat
Western Australia,hectares,247700,321000,444000,556900,701800,634000,505800,463800,421600,516300,540800,628400,670500,755800,854700,1040500,1213500,1353100,1444000,1600900,1278400,1371700,1288200,1118700,1028200,1042200,1224800,1381100,1202100,1062500,1073800,709500,634200,613400,742900,981700,1117100,1160500,1171200,1289100,1252300,1213900,1167600,1205600,1169400,1118800,1196800,1332200,1504900,1627400,1772500,1944100,1878000,2084700,2488800,2568400,2690000,2952300,2747100,2361100,2041900,2437400,2977900,2809900,3171300,3313900,3608900,3705600,4120800,4333100,4593000,4865400,4746200,4651600,4147700,4260200,3312400,3297400,3476400,3632200,3229900,3669300,3852400,3848300,3892400,4263700,4204900,4515300,4556200,4460300,4349900,4457700,4917000,5118300,4752700,4037000,4258200,4541900,5005900,4639500,5155761,4909209,5114891,5038134,4615761,4677774,4056574,4369200,4132709,4387514,4718004,Wheat
0,tonnes,118600,249400,362600,71400,496000,438000,253100,240600,305300,333100,378200,376900,514600,649700,556800,845100,989300,919100,1063000,1455300,1129400,1136700,1014700,734000,634200,586100,985300,1002100,1111400,572800,1020000,560300,450200,433300,569300,647400,938400,986000,1047200,1357300,1088000,964500,1079800,933000,1448400,873100,900300,1568100,1595800,1738100,1787000,1972000,1423600,1715500,2778600,2806900,2909700,3058600,1814200,2957000,2165100,2003000,4210800,3277100,4122000,3248800,2945500,4399500,3739100,3315200,4803000,5322100,4188600,6284200,4316300,5376800,3882300,5225100,4800000,5449100,4736000,5978900,6689300,5437900,6826700,7516000,7724500,8170100,9004100,5814400,7759900,4046900,11070000,8618900,9088100,5134300,5820200,8274000,8114100,5004600,11045107,6744055,9976941,8824410,8510577,9644881,7698552,9979220,5842187,8792706,12919145,Wheat
Tasmania,hectares,15100,10200,7500,9700,19700,11200,8800,4800,4700,11400,11300,10200,5900,5200,7700,9400,8500,9100,6800,7800,4700,8500,9800,6700,4200,8600,8500,4000,3000,3300,2600,1700,2000,1600,2000,3100,3100,2800,2200,2200,1500,2700,3900,3000,2500,1600,2400,2600,3300,2800,6300,6200,7100,6800,5700,5200,4900,7000,6000,4500,4600,4300,2500,1500,1600,2000,1300,1400,2000,1600,1300,900,1100,2500,1800,1700,1200,800,800,600,1200,1500,1600,1300,1100,1900,2800,4000,6300,6600,5900,7400,7700,7400,7900,7200,7100,8600,7200,8100,6617,5990,8176,8326,10545,10303,np,np,7182,8173,9303,Wheat
0,tonnes,17900,17100,9500,10500,27000,9500,6900,5100,5800,15400,15700,15500,8300,6300,10700,14500,20900,12300,10200,10600,4900,11700,15200,8300,5000,15400,14200,5500,2900,3800,3900,2000,3300,2500,1800,3800,3200,4200,3400,2600,2500,4200,7100,4300,3500,2400,4100,4400,4900,4000,9300,11300,13000,9800,10000,10400,8500,11100,9500,7600,8300,7700,3500,2300,1700,3900,1500,2900,3700,2500,2300,1500,2800,4400,4000,4700,3800,2200,2700,2400,3200,5500,5300,2800,4100,7500,11700,17500,19800,25600,25300,25300,26100,30500,34000,17700,26800,34900,27300,31900,32252,30440,43484,44237,53361,55780,np,np,43805,56295,69983,Wheat
Northern Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,831,0,0,0,0,0,0,Wheat
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,2861,0,0,0,0,0,0,Wheat
Australian Capital Territory,hectares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,300,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,100,600,600,200,100,100,100,100,200,300,213,150,150,0,20,10,np,np,0,0,0,Wheat
0,tonnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,100,300,0,0,0,0,0,0,100,100,0,0,0,0,0,0,1800,100,1800,1900,0,0,0,0,100,300,400,319,410,330,0,68,35,np,np,0,0,0,Wheat
Australia,hectares,52800,52200,68900,60000,49000,60700,55100,45000,46100,56700,60400,54900,54400,56200,55400,56400,66000,55900,50200,57300,58700,60100,56500,52900,50600,52600,46300,39700,42300,49800,40800,56700,77700,97800,71200,58500,58900,48400,54200,51400,47700,54700,51900,43500,37900,40900,47700,42400,43800,37100,38200,46000,41300,35600,39000,40200,42800,45900,43300,38600,40400,36600,34100,37600,33800,33900,36100,34600,36700,35700,36100,37300,37900,38400,36100,36700,39800,37600,40600,39800,39800,38800,40300,37600,41800,41100,42600,41300,36800,39600,37900,35900,36100,37400,35300,34100,38200,32600,36400,32200,33670,33034,29505,29414,27968,28372,29740,32413,27057,31426,26381,Potatoes
0,tonnes,306300,425000,438100,363300,338000,362400,353000,264600,298900,379000,394300,333600,454800,337500,318400,379200,477500,288600,348000,370600,403500,390400,333000,290100,328300,468200,350800,278700,328500,467200,340800,491100,607700,894100,655400,552300,505200,466600,477900,417700,516400,437400,556200,475400,407900,526700,584200,583600,588100,457900,534200,677100,569900,516100,649200,653200,668600,811200,761800,774300,821700,720500,649100,741900,696500,728500,772800,794600,857400,865800,918600,854300,1019800,992100,964500,1015200,1081500,1048000,1177900,1136200,1150100,1129200,1184700,1122400,1308100,1286100,1371600,1326800,1199600,1302100,1333200,1247300,1310400,1288300,1249600,1212000,1400200,1178500,1278100,1128200,1288186,1273243,1171259,1154503,1130175,1105194,1188655,1225274,1076780,1267639,1108930,Potatoes
New South Wales,hectares,17500,13800,15700,12300,7900,9100,9100,8400,8100,11200,11900,9100,8900,9500,9200,8900,8700,6000,5200,6200,7100,8400,8100,8000,9200,10100,8600,6800,7800,7200,7200,9900,12200,14100,9300,8600,8900,7300,9500,7400,7700,7300,6700,5600,5400,6100,7000,7100,7800,7400,8200,11100,9900,8300,8900,9500,9800,11800,10500,8900,10000,9100,8500,9300,8300,8400,8700,8300,7400,6300,6200,7000,6800,6600,5900,6200,6400,6300,6700,6000,6300,6500,6600,6300,7200,6000,6800,6900,6300,6900,6900,5300,4600,4900,5100,4600,4100,3000,4900,4100,4045,4412,3810,3505,3900,3589,4045,3085,2031,2833,1752,Potatoes
0,tonnes,76400,93100,108600,41400,45200,46100,50800,30800,50800,64300,58800,36300,62100,58200,43800,54100,48200,26800,24300,32800,34300,43100,44200,46800,63900,67300,51600,40000,41200,51200,39300,65800,66700,81900,62800,62300,66600,62200,70500,43800,52900,52000,59000,48500,44900,55300,67800,85800,83200,86500,84600,135100,99900,76900,106300,128200,124800,163400,144300,145700,171800,130300,124600,117900,117900,111900,114800,124200,102400,86500,107500,108800,129600,109300,108600,121600,119900,110100,130100,119500,122500,137400,138700,126800,162500,136200,146500,162100,156400,160100,158500,134100,119100,130500,130900,122700,104400,75400,131800,110800,66078,112757,120440,111038,137247,107698,109301,82463,51373,86630,51164,Potatoes
Victoria,hectares,19300,19300,30200,26500,23000,29800,27100,20900,21800,25400,25900,25000,24000,24800,25600,26800,31400,27700,23800,27400,28300,28200,24600,21900,17900,18500,16600,13900,13000,17900,13500,20900,28500,33700,25500,22800,24000,18500,20500,21200,17000,21400,21300,17800,15000,16100,20200,18700,19600,15700,14800,17400,16000,13300,13900,15000,16300,16200,16100,14200,14000,13100,12500,13000,10900,9900,12100,11300,13100,13700,13700,13500,13500,14900,14200,13200,14500,13000,13300,14100,13600,12000,12000,10100,11500,11400,10300,10500,9600,9600,8700,8200,9100,8400,8500,8100,10700,8500,7600,7600,8189,7174,7587,6242,6338,7150,6396,6800,6981,6582,6231,Potatoes
0,tonnes,121000,194200,179400,192300,176600,191000,185100,139700,148200,174400,176400,150700,242300,141300,163300,165500,234000,142400,174500,176100,209800,185400,144400,111100,105800,199800,136900,82700,89300,220000,120400,198300,220900,310100,234500,227400,187800,168800,170600,141600,181300,135300,217100,209900,165900,231000,255200,263500,246400,183700,199200,258600,203600,186600,244700,228800,219400,304800,284000,303900,306700,287000,254000,282500,244500,243600,303400,279600,333600,349000,354200,287200,362400,379100,367000,364300,398200,368300,368400,376700,368800,309200,322100,279900,335600,315700,295100,319200,294700,297000,294500,270900,337900,271400,289300,256500,322400,255500,275000,236700,295878,250668,292178,238297,237881,245219,224876,257876,272767,282034,269799,Potatoes
Queensland,hectares,3100,3600,4100,3400,2300,3600,4300,2600,1800,3500,3900,3100,2500,3800,4200,3500,4100,3300,3300,4200,4200,3900,4800,4700,5500,5400,4400,4200,5000,5100,3900,4000,5900,7400,6200,4300,4300,4500,4700,4400,4600,4700,3800,3900,4100,5200,5800,4700,5000,4900,5900,6900,6400,5700,6500,6600,7000,7500,7200,6400,7400,6000,5300,6100,6000,6300,6000,5900,6500,5800,6100,6200,6300,6000,5500,6300,6600,6200,6200,5800,5300,5300,5000,4800,4700,4700,5100,4800,5200,4800,4600,4700,4800,4800,3600,3500,3400,3500,3500,3300,3153,4052,2528,3357,2392,2281,2089,2504,2551,3442,3449,Potatoes
0,tonnes,13300,16600,16800,16300,7600,19800,22500,11300,8000,19400,17100,10700,9000,20600,15600,9900,19200,9800,13400,18800,17500,14200,20400,22000,25200,16100,16800,19500,28800,22100,19300,22800,31200,34200,34100,23000,29800,28000,31200,25100,33500,35600,33200,31100,38200,50300,57400,47800,52300,60300,71800,87600,91600,83700,99300,95200,108100,125000,117300,110400,132600,92200,86500,107600,99800,106300,103700,114500,127400,113300,128600,120200,124000,117200,113200,132700,120000,115100,121900,119000,112600,125200,118000,109000,103800,115400,121600,108100,118800,115800,117900,118600,119200,119900,93600,88100,99200,97600,95300,87700,90967,113078,77318,101598,68358,61755,59397,79311,60381,113383,117574,Potatoes
