Region label,Unit of measure,Commodity,Year,Value
New South Wales,number,Total cattle,1951,3703000
Victoria,number,Total cattle,1951,2216300
Queensland,number,Total cattle,1951,6734000
South Australia,number,Total cattle,1951,432600
Western Australia,number,Total cattle,1951,841000
Tasmania,number,Total cattle,1951,271900
Northern Territory,number,Total cattle,1951,1019000
Australian Capital Territory,number,Total cattle,1951,11000
New South Wales,number,Total cattle,1952,3621000
Victoria,number,Total cattle,1952,2215000
Queensland,number,Total cattle,1952,6435000
South Australia,number,Total cattle,1952,437500
Western Australia,number,Total cattle,1952,852000
Tasmania,number,Total cattle,1952,265000
Northern Territory,number,Total cattle,1952,1058000
Australian Capital Territory,number,Total cattle,1952,10000
New South Wales,number,Total cattle,1953,3648700
Victoria,number,Total cattle,1953,2297200
Queensland,number,Total cattle,1953,6751400
South Australia,number,Total cattle,1953,482600
Western Australia,number,Total cattle,1953,846300
Tasmania,number,Total cattle,1953,275100
Northern Territory,number,Total cattle,1953,936000
Australian Capital Territory,number,Total cattle,1953,10000
New South Wales,number,Total cattle,1954,3554000
Victoria,number,Total cattle,1954,2370200
Queensland,number,Total cattle,1954,7086200
South Australia,number,Total cattle,1954,490900
Western Australia,number,Total cattle,1954,829700
Tasmania,number,Total cattle,1954,295200
Northern Territory,number,Total cattle,1954,966000
Australian Capital Territory,number,Total cattle,1954,9000
New South Wales,number,Total cattle,1955,3460700
Victoria,number,Total cattle,1955,2456300
Queensland,number,Total cattle,1955,7238100
South Australia,number,Total cattle,1955,523800
Western Australia,number,Total cattle,1955,860600
Tasmania,number,Total cattle,1955,319400
Northern Territory,number,Total cattle,1955,0
Australian Capital Territory,number,Total cattle,1955,0
New South Wales,number,Total cattle,1956,3678600
Victoria,number,Total cattle,1956,2616600
Queensland,number,Total cattle,1956,7331000
South Australia,number,Total cattle,1956,566100
Western Australia,number,Total cattle,1956,896900
Tasmania,number,Total cattle,1956,332000
Northern Territory,number,Total cattle,1956,1028000
Australian Capital Territory,number,Total cattle,1956,9000
New South Wales,number,Total cattle,1957,3910800
Victoria,number,Total cattle,1957,2765000
Queensland,number,Total cattle,1957,7461700
South Australia,number,Total cattle,1957,621600
Western Australia,number,Total cattle,1957,957200
Tasmania,number,Total cattle,1957,354000
Northern Territory,number,Total cattle,1957,1176000
Australian Capital Territory,number,Total cattle,1957,11000
New South Wales,number,Total cattle,1958,3736300
Victoria,number,Total cattle,1958,2749600
Queensland,number,Total cattle,1958,7187200
South Australia,number,Total cattle,1958,597200
Western Australia,number,Total cattle,1958,997000
Tasmania,number,Total cattle,1958,371000
Northern Territory,number,Total cattle,1958,1244000
Australian Capital Territory,number,Total cattle,1958,10000
New South Wales,number,Total cattle,1959,3663500
Victoria,number,Total cattle,1959,2651000
Queensland,number,Total cattle,1959,6884200
South Australia,number,Total cattle,1959,576100
Western Australia,number,Total cattle,1959,1000000
Tasmania,number,Total cattle,1959,374000
Northern Territory,number,Total cattle,1959,1099000
Australian Capital Territory,number,Total cattle,1959,9000
New South Wales,number,Total cattle,1960,3840600
Victoria,number,Total cattle,1960,2624000
Queensland,number,Total cattle,1960,7012000
South Australia,number,Total cattle,1960,499700
Western Australia,number,Total cattle,1960,1030000
Tasmania,number,Total cattle,1960,375000
Northern Territory,number,Total cattle,1960,1111000
Australian Capital Territory,number,Total cattle,1960,11000
New South Wales,number,Total cattle,1961,4241900
Victoria,number,Total cattle,1961,2863800
Queensland,number,Total cattle,1961,7004100
South Australia,number,Total cattle,1961,560700
Western Australia,number,Total cattle,1961,1100000
Tasmania,number,Total cattle,1961,394000
Northern Territory,number,Total cattle,1961,1154000
Australian Capital Territory,number,Total cattle,1961,13000
New South Wales,number,Total cattle,1962,4398700
Victoria,number,Total cattle,1962,3155900
Queensland,number,Total cattle,1962,7097900
South Australia,number,Total cattle,1962,659500
Western Australia,number,Total cattle,1962,1218000
Tasmania,number,Total cattle,1962,425000
Northern Territory,number,Total cattle,1962,1064000
Australian Capital Territory,number,Total cattle,1962,14000
New South Wales,number,Total cattle,1963,4569100
Victoria,number,Total cattle,1963,3225200
Queensland,number,Total cattle,1963,7233600
South Australia,number,Total cattle,1963,678700
Western Australia,number,Total cattle,1963,1298000
Tasmania,number,Total cattle,1963,444000
Northern Territory,number,Total cattle,1963,1087000
Australian Capital Territory,number,Total cattle,1963,14000
New South Wales,number,Total cattle,1964,4789000
Victoria,number,Total cattle,1964,3300700
Queensland,number,Total cattle,1964,7402300
South Australia,number,Total cattle,1964,694300
Western Australia,number,Total cattle,1964,1299000
Tasmania,number,Total cattle,1964,450000
Northern Territory,number,Total cattle,1964,1105000
Australian Capital Territory,number,Total cattle,1964,15000
New South Wales,number,Total cattle,1965,4619100
Victoria,number,Total cattle,1965,3316400
Queensland,number,Total cattle,1965,7392500
South Australia,number,Total cattle,1965,696500
Western Australia,number,Total cattle,1965,1258000
Tasmania,number,Total cattle,1965,451000
Northern Territory,number,Total cattle,1965,1068000
Australian Capital Territory,number,Total cattle,1965,14000
New South Wales,number,Total cattle,1966,4152900
Victoria,number,Total cattle,1966,3397000
Queensland,number,Total cattle,1966,6888000
South Australia,number,Total cattle,1966,690000
Western Australia,number,Total cattle,1966,1271000
