Region label,Unit of measure,Commodity,Year,Value
Queensland,hectares,Wheat,1914,53700
Queensland,tonnes,Wheat,1914,48100
South Australia,hectares,Wheat,1914,917800
South Australia,tonnes,Wheat,1914,460700
Western Australia,hectares,Wheat,1914,444000
Western Australia,tonnes,Wheat,1914,362600
Tasmania,hectares,Wheat,1914,7500
Tasmania,tonnes,Wheat,1914,9500
Northern Territory,hectares,Wheat,1914,0
Northern Territory,tonnes,Wheat,1914,0
Australian Capital Territory,hectares,Wheat,1914,0
Australian Capital Territory,tonnes,Wheat,1914,0
Australia,hectares,Potatoes,1914,68900
Australia,tonnes,Potatoes,1914,438100
New South Wales,hectares,Potatoes,1914,15700
New South Wales,tonnes,Potatoes,1914,108600
Victoria,hectares,Potatoes,1914,30200
Victoria,tonnes,Potatoes,1914,179400
Queensland,hectares,Potatoes,1914,4100
Queensland,tonnes,Potatoes,1914,16800
South Australia,hectares,Potatoes,1914,4400
South Australia,tonnes,Potatoes,1914,33500
Western Australia,hectares,Potatoes,1914,2100
Western Australia,tonnes,Potatoes,1914,18100
Tasmania,hectares,Potatoes,1914,12500
Tasmania,tonnes,Potatoes,1914,81700
Northern Territory,hectares,Potatoes,1914,0
Northern Territory,tonnes,Potatoes,1914,0
Australian Capital Territory,hectares,Potatoes,1914,0
Australian Capital Territory,tonnes,Potatoes,1914,0
Australia,number,Total cattle,1914,11051573
New South Wales,number,Total cattle,1914,2472631
Victoria,number,Total cattle,1914,1362542
Queensland,number,Total cattle,1914,5455943
South Australia,number,Total cattle,1914,300579
Western Australia,number,Total cattle,1914,863835
Tasmania,number,Total cattle,1914,176524
Northern Territory,number,Total cattle,1914,414558
Australian Capital Territory,number,Total cattle,1914,4961
Australia,hectares,Barley,1915,62200
Australia,tonnes,Barley,1915,30200
New South Wales,hectares,Barley,1915,2000
New South Wales,tonnes,Barley,1915,1100
Victoria,hectares,Barley,1915,25300
Victoria,tonnes,Barley,1915,13600
Queensland,hectares,Barley,1915,2900
Queensland,tonnes,Barley,1915,2400
South Australia,hectares,Barley,1915,26800
South Australia,tonnes,Barley,1915,10200
Western Australia,hectares,Barley,1915,2800
Western Australia,tonnes,Barley,1915,500
Tasmania,hectares,Barley,1915,2400
Tasmania,tonnes,Barley,1915,2400
Northern Territory,hectares,Barley,1915,0
Northern Territory,tonnes,Barley,1915,0
Australian Capital Territory,hectares,Barley,1915,0
Australian Capital Territory,tonnes,Barley,1915,0
Australia,hectares,Maize,1915,125300
Australia,tonnes,Maize,1915,157400
New South Wales,hectares,Maize,1915,58100
New South Wales,tonnes,Maize,1915,80600
Victoria,hectares,Maize,1915,7900
Victoria,tonnes,Maize,1915,25900
Queensland,hectares,Maize,1915,59300
Queensland,tonnes,Maize,1915,50900
South Australia,hectares,Maize,1915,0
South Australia,tonnes,Maize,1915,0
Western Australia,hectares,Maize,1915,0
Western Australia,tonnes,Maize,1915,0
Tasmania,hectares,Maize,1915,0
Tasmania,tonnes,Maize,1915,0
